Date,Time,Open,High,Low,Close,Volume
2021.06.23,12:00,15566.5,15597.0,15503.3,15587.0,46773
2021.06.23,16:00,15586.5,15589.0,15452.5,15471.7,44038
2021.06.23,20:00,15471.5,15505.9,15468.0,15477.0,9376
2021.06.24,00:00,15502.0,15507.7,15491.7,15500.7,975
2021.06.24,04:00,15501.2,15528.0,15498.3,15516.0,2915
2021.06.24,08:00,15515.7,15572.3,15477.3,15571.3,44489
2021.06.24,12:00,15571.7,15595.0,15545.0,15571.0,35180
2021.06.24,16:00,15570.5,15608.0,15559.5,15597.9,34032
2021.06.24,20:00,15597.5,15604.7,15583.5,15593.5,8440
2021.06.25,00:00,15609.2,15615.0,15590.3,15606.2,1077
2021.06.25,04:00,15605.3,15626.9,15594.0,15621.0,2644
2021.06.25,08:00,15621.4,15637.7,15544.0,15556.0,34776
2021.06.25,12:00,15555.5,15583.3,15532.0,15574.0,31833
2021.06.25,16:00,15573.5,15614.0,15551.0,15606.9,27401
2021.06.25,20:00,15606.5,15619.8,15596.9,15610.8,4969
2021.06.28,00:00,15618.0,15619.0,15595.0,15605.0,1083
2021.06.28,04:00,15604.9,15620.0,15598.2,15614.8,2795
2021.06.28,08:00,15615.4,15670.0,15569.0,15587.0,44854
2021.06.28,12:00,15586.5,15641.0,15540.0,15635.0,37998
2021.06.28,16:00,15635.0,15645.0,15541.5,15560.7,36838
2021.06.28,20:00,15560.0,15582.7,15551.5,15575.9,10649
2021.06.29,00:00,15555.0,15565.0,15545.0,15553.2,944
2021.06.29,04:00,15553.3,15555.0,15532.7,15549.0,3954
2021.06.29,08:00,15548.9,15675.5,15547.7,15640.0,49692
2021.06.29,12:00,15639.5,15745.0,15638.0,15741.0,43088
2021.06.29,16:00,15740.5,15755.0,15680.5,15693.7,32360
2021.06.29,20:00,15693.5,15699.4,15670.5,15693.9,8595
2021.06.30,00:00,15716.7,15723.4,15689.5,15689.8,1004
2021.06.30,04:00,15689.9,15708.7,15686.0,15706.9,3766
